ActivityStartDate,ActivityStartTime/Time,ActivityEndDate,ActivityEndTime/Time,MonitoringLocationIdentifier,ActivityDepthHeightMeasure/MeasureValue,ActivityMediaName,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultStatusIdentifier,MeasureQualifierCode,DetectionQuantitationLimitMeasure/MeasureValue,ResultDetectionConditionText,ProjectIdentifier,ResultAnalyticalMethod/MethodName,ProviderName,ActivityDepthHeightMeasure/MeasureUnitCode
2014-05-06,,,,21OHIO_WQX-V07W06,,Water,Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,2.48,mg/L,Final,,,,1137,USEPA 350.1,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,"2,2-Dichloropropane",,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Bromide,47.1,ug/L,Final,,,,41,USEPA 300.1,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,"cis-1,3-Dichloropropene",,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,n-Butylbenzene,,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-10-14,,,,21OHDGW_WQX-39FRA00404,,Water,Sodium,44.7,mg/L,Final,,,,41,USEPA 200.7,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,"trans-1,3-Dichloropropene",,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Chloride,70.2,mg/L,Final,,,,41,USEPA 325.1,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,"cis-1,2-Dichloroethylene",,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Naphthalene,,,Final,,0.5,Present Below Quantification Limit,41,,STORET,
2014-10-14,,,,21OHDGW_WQX-39FRA00404,,Water,"Temperature, water",16.4,deg C,Final,,,,41,,STORET,
2014-05-06,,,,21OHIO_WQX-V07W06,,Water,Sodium,85.4,mg/L,Final,,,,1137,USEPA 200.7,STORET,
2014-05-06,,,,21OHIO_WQX-V07W06,,Water,Chloride,144.0,mg/L,Final,,,,1137,USEPA 325.1,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,"Temperature, water",16.2,deg C,Final,,,,41,,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Calcium,116.0,mg/L,Final,,,,41,OEPA Method,STORET,
2014-04-01,,,,21OHDGW_WQX-39FRA00404,,Water,Manganese,103.0,ug/L,Final,,,,41,USEPA 200.7,STORET,
2014-05-06,,,,21OHIO_WQX-V07W06,,Water,Manganese,145.0,ug/L,Final,,,,1137,USEPA 200.7,STORET,
