location,month,characteristic,monthly_mean,monthly_median,n_samples
baton_rouge,2019-12-01,Phosphorus,0.35,0.35,1
baton_rouge,2019-12-01,Sulfate,7.1,7.1,1
baton_rouge,2019-12-01,Total dissolved solids,34.0,34.0,1
baton_rouge,2020-01-01,Chloride,8.9,8.9,1
baton_rouge,2020-01-01,Phosphorus,0.27,0.27,1
baton_rouge,2020-01-01,Sulfate,22.0,22.0,1
baton_rouge,2020-01-01,Total dissolved solids,110.0,110.0,1
baton_rouge,2020-02-01,Chloride,7.2,7.2,1
baton_rouge,2020-02-01,Phosphorus,0.12,0.12,1
baton_rouge,2020-02-01,Sulfate,18.0,18.0,1
baton_rouge,2020-02-01,Total dissolved solids,160.0,160.0,1
baton_rouge,2020-03-01,Chloride,12.0,12.0,1
baton_rouge,2020-03-01,Phosphorus,0.11,0.11,1
baton_rouge,2020-03-01,Sulfate,23.0,23.0,1
baton_rouge,2020-03-01,Total dissolved solids,110.0,110.0,1
baton_rouge,2020-04-01,Chloride,14.0,14.0,1
baton_rouge,2020-04-01,Phosphorus,0.28,0.28,1
baton_rouge,2020-04-01,Sulfate,15.0,15.0,1
baton_rouge,2020-04-01,Total dissolved solids,150.0,150.0,1
baton_rouge,2020-05-01,Chloride,5.7,5.7,1
baton_rouge,2020-05-01,Phosphorus,0.35,0.35,1
baton_rouge,2020-05-01,Sulfate,16.0,16.0,1
baton_rouge,2020-05-01,Total dissolved solids,140.0,140.0,1
baton_rouge,2020-06-01,Chloride,8.0,8.0,1
baton_rouge,2020-06-01,Phosphorus,0.31,0.31,1
baton_rouge,2020-06-01,Sulfate,12.0,12.0,1
baton_rouge,2020-06-01,Total dissolved solids,150.0,150.0,1
baton_rouge,2020-07-01,Chloride,3.6,3.6,1
baton_rouge,2020-07-01,Phosphorus,0.21,0.21,1
baton_rouge,2020-07-01,Sulfate,12.0,12.0,1
baton_rouge,2020-07-01,Total dissolved solids,100.0,100.0,1
baton_rouge,2020-08-01,Chloride,8.7,8.7,1
baton_rouge,2020-08-01,Phosphorus,0.34,0.34,1
baton_rouge,2020-08-01,Sulfate,16.0,16.0,1
baton_rouge,2020-08-01,Total dissolved solids,180.0,180.0,1
baton_rouge,2020-09-01,Chloride,7.6,7.6,1
baton_rouge,2020-09-01,Phosphorus,0.33,0.33,1
baton_rouge,2020-09-01,Sulfate,14.0,14.0,1
baton_rouge,2020-09-01,Total dissolved solids,170.0,170.0,1
baton_rouge,2020-10-01,pH,7.7,7.7,1
columbus,2012-04-01,Chloride,81.0,81.0,1
columbus,2012-04-01,Phosphorus,0.019,0.019,1
columbus,2012-04-01,Sulfate,62.6,62.6,1
columbus,2012-04-01,Total dissolved solids,627.5,627.5,2
columbus,2012-11-01,Chloride,78.3,78.3,1
columbus,2012-11-01,Phosphorus,0.022,0.022,1
columbus,2012-11-01,Sulfate,60.9,60.9,1
columbus,2012-11-01,Total dissolved solids,641.0,641.0,2
columbus,2013-04-01,Chloride,77.2,77.2,1
columbus,2013-04-01,Phosphorus,0.023,0.023,1
columbus,2013-04-01,Sulfate,61.9,61.9,1
